127.0.0.1, 2015-10-21 09:37:40, GET, /admin/static/_2.12.3/images/folder_locked.png, HTTP/1.1, 200, 0.016000
127.0.0.1, 2015-10-21 09:37:40, GET, /admin/static/_2.12.3/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-21 09:37:41, POST, /admin/default/check_version, HTTP/1.1, 200, 0.694000
127.0.0.1, 2015-10-21 09:37:46, GET, /admin/default/design/webflow, HTTP/1.1, 200, 2.698000
127.0.0.1, 2015-10-21 09:37:47, GET, /admin/static/_2.12.3/images/search.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-10-21 09:37:47, GET, /admin/static/_2.12.3/images/help.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-10-21 09:37:47, GET, /admin/static/_2.12.3/images/test_icon.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-21 09:37:47, GET, /admin/static/_2.12.3/images/delete_icon.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-10-21 09:37:53, GET, /admin/default/edit/webflow/controllers/acesso.py, HTTP/1.1, 200, 0.087000
127.0.0.1, 2015-10-21 09:37:53, GET, /admin/static/_2.12.3/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.017000
127.0.0.1, 2015-10-21 09:37:53, GET, /admin/static/_2.12.3/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.015000
127.0.0.1, 2015-10-21 09:37:53, GET, /admin/static/_2.12.3/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.027000
127.0.0.1, 2015-10-21 09:37:53, GET, /admin/static/_2.12.3/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.048000
127.0.0.1, 2015-10-21 09:37:53, GET, /admin/static/_2.12.3/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.019000
127.0.0.1, 2015-10-21 09:37:53, GET, /admin/static/_2.12.3/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.011000
127.0.0.1, 2015-10-21 09:37:53, GET, /admin/static/_2.12.3/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.056000
127.0.0.1, 2015-10-21 09:37:53, GET, /admin/static/_2.12.3/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.057000
127.0.0.1, 2015-10-21 09:37:53, GET, /admin/static/_2.12.3/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-21 09:37:53, GET, /admin/static/_2.12.3/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-10-21 09:37:53, GET, /admin/static/_2.12.3/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-10-21 09:37:53, GET, /admin/static/_2.12.3/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-10-21 09:37:53, GET, /admin/static/_2.12.3/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-10-21 09:37:53, GET, /admin/static/_2.12.3/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-10-21 09:37:53, GET, /admin/static/_2.12.3/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-21 09:37:53, GET, /admin/static/_2.12.3/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.025000
127.0.0.1, 2015-10-21 09:37:53, GET, /admin/static/_2.12.3/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.019000
127.0.0.1, 2015-10-21 09:37:53, GET, /admin/static/_2.12.3/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.036000
127.0.0.1, 2015-10-21 09:37:53, GET, /admin/static/_2.12.3/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.013000
127.0.0.1, 2015-10-21 09:37:53, GET, /admin/static/_2.12.3/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-10-21 09:37:53, GET, /admin/static/_2.12.3/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.013000
127.0.0.1, 2015-10-21 09:37:53, GET, /admin/static/_2.12.3/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.011000
127.0.0.1, 2015-10-21 09:37:53, GET, /admin/static/_2.12.3/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.014000
127.0.0.1, 2015-10-21 09:37:53, GET, /admin/static/_2.12.3/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-10-21 09:37:53, GET, /admin/static/_2.12.3/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-10-21 09:37:53, GET, /admin/static/_2.12.3/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-21 09:37:53, GET, /admin/static/_2.12.3/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.001000
